SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	CDK4
2	2	0	100	CDK4,CDKN2B
3	3	0	100	CDK4,CDKN2B,CDKN2A
4	4	0	100	CDK4,CDKN2B,CDKN2A,CDK6
6	6	0	100	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53
8	7	1	87	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,MCM2
9	8	1	88	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,MCM2
10	8	2	80	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,MCM2,MAGEA11
11	8	3	72	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,MCM2,MAGEA11,CDC5L
12	9	3	75	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,RB1,MCM2,MAGEA11,CDC5L
13	10	3	76	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,MCM2,MAGEA11,CDC5L
14	11	3	78	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,MDM2,MCM2,MAGEA11,CDC5L
15	11	4	73	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,MDM2,MCM2,MAGEA11,CDC5L,SP1
16	12	4	75	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,MDM2,PIK3R1,MCM2,MAGEA11,CDC5L,SP1
19	13	6	68	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,PIK3R1,MCM2,KIAA1377,MAGEA11,CDC5L,CEBPB,SP1
22	15	7	68	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,PIK3R1,PIK3CA,EGFR,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,SP1
23	16	7	69	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,SP1
24	16	8	66	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,MCM5,SP1
27	17	10	62	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,MCM5,ARPC3,SP1,TGFBR1
29	17	12	58	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,TGFBR1,TRAF1
30	17	13	56	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,CDC6,TGFBR1,TRAF1
31	17	14	54	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1
32	17	15	53	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,TK1
34	18	16	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MDM4,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,TK1
35	18	17	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MDM4,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1
36	19	17	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,MDM4,GRB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1
38	20	18	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,ATM,MDM4,GRB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1
39	21	18	53	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1
40	21	19	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1
41	21	20	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,PSMA3
42	22	20	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,PSMA3
43	22	21	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,PSMA3
44	22	22	50	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3
45	23	22	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,MET,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3
46	24	22	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,MET,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3
47	25	22	53	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,MET,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3
48	25	23	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,MET,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3,COPS6
49	26	23	53	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,ZBTB16,MET,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3,COPS6
51	28	23	54	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,ZBTB16,MET,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,KLHL9,PSMA3,COPS6
52	28	24	53	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,ZBTB16,MET,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,COPS6
55	29	26	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,ZBTB16,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,HOOK1,SETDB1,COPS6
56	29	27	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,TFDP1,ZBTB16,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,HOOK1,ANXA7,SETDB1,COPS6
59	31	28	52	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6
60	31	29	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,SH2D1A
61	31	30	50	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,SH2D1A,USP7
62	32	30	51	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,CCND3,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,SH2D1A,USP7
63	32	31	50	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,CCND3,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,TGFA,SH2D1A,USP7
64	32	32	50	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,CCND3,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,TGFA,SH2D1A,BARD1,USP7
66	32	34	48	CDK4,CDKN2B,CDKN2A,CDK6,MYC,TP53,MAX,PTEN,SMAD4,RB1,SMAD3,MDM2,CDKN2C,PIK3R1,PIK3CA,EGFR,CDKN1A,TRRAP,ATM,MDM4,GRB2,PIK3C2B,PDGFRB,FOXA1,TFDP1,CCND1,ZBTB16,CCND3,MET,PDGFRA,AKT1,ERBB2,MCM2,KIAA1377,MAGEA11,IKBKAP,CDC5L,CEBPB,CCDC33,MCM5,ARPC3,SP1,ZBTB17,CDC6,TGFBR1,TRAF1,MCM7,NIF3L1,TK1,HAUS1,ATXN1,CHGB,SNCA,KLHL9,PSMA3,BAG6,HOOK1,ANXA7,SETDB1,COPS6,TGFA,SH2D1A,BARD1,USP7,ATF2,MAPK6
