Gene	TP53	PTEN	CDK4	CDKN2A	MDM2	EGFR	PIK3R1	PIK3CA	MDM4	RB1	CDK6	AKT1	MYC	ATM	DDX5	PLCG1	PDGFRA	CRK	RELN	VAV2	APOB	ITGAM	ITGB2	NF1	ABL1	KDR	GRB2	FYN	MACF1	RHOA	NCK1	CNTNAP2	IL4R	GRIN2A	PDGFRB	ERBB2	CTNNB1	SRC	ESR2
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0
GeneName	TP53	PTEN	CDK4	CDKN2A	MDM2	EGFR	PIK3R1	PIK3CA	MDM4	RB1	CDK6	AKT1	MYC	ATM	DDX5	PLCG1	PDGFRA	CRK	RELN	VAV2	APOB	ITGAM	ITGB2	NF1	ABL1	KDR	GRB2	FYN	MACF1	RHOA	NCK1	CNTNAP2	IL4R	GRIN2A	PDGFRB	ERBB2	CTNNB1	SRC	ESR2
MutualExclScore	28.083333333333325	45.5666666666667	28.966666666666654	102.8333333333333	17.533333333333335	23.6	9.3	9.416666666666666	17.48333333333333	12.616666666666667	6.783333333333332	2.6666666666666665	3.0	1.8333333333333333	1.0	1.1166666666666667	23.21666666666666	0.0	3.35	1.2	3.7500000000000004	1.0833333333333333	1.3333333333333333	14.683333333333337	0.6666666666666666	1.9833333333333332	0.0	0.16666666666666666	2.05	0.0	0.0	4.066666666666666	1.8	2.0666666666666664	0.7	0.3333333333333333	0.0	0.8333333333333333	0.9166666666666665
MutQty	80	134	77	237	48	74	32	28	49	39	17	7	8	4	4	5	68	0	13	2	14	5	4	40	2	8	0	1	9	0	0	13	8	9	3	1	0	2	3
TCGA-06-6694-01	1	1	1	1																									1										
TCGA-27-1838-01	1	1	1			1		1											1																				
TCGA-16-0846-01	1	1	1						1								1																1						
TCGA-06-2559-01	1	1	1														1																						
TCGA-06-0875-01	1	1	1																																				
TCGA-06-2558-01	1	1	1																																				
TCGA-06-0743-01	1	1		1		1										1	1																						
TCGA-14-0813-01	1	1		1		1																											1						
TCGA-06-0876-01	1	1		1		1																																	
TCGA-76-4934-01	1	1		1						1							1																						
TCGA-06-0188-01	1	1		1						1												1				1													
TCGA-76-4925-01	1	1		1											1																								
TCGA-28-5216-01	1	1		1													1																						
TCGA-06-0644-01	1	1		1															1																				
TCGA-32-4210-01	1	1		1																																			
TCGA-76-6664-01	1	1		1																																			
TCGA-14-1825-01	1	1		1																																			
TCGA-28-1753-01	1	1		1																																			
TCGA-27-1836-01	1	1		1																																			
TCGA-28-5215-01	1	1		1																																			
TCGA-19-2625-01	1	1				1			1	1																													
TCGA-76-6662-01	1	1					1		1	1																													
TCGA-32-2634-01	1	1					1			1																													
TCGA-76-6286-01	1	1						1		1																													
TCGA-06-0195-01	1	1								1						1																							
TCGA-06-0184-01	1	1								1														1															
TCGA-19-2623-01	1	1								1																													
TCGA-06-0130-01	1	1								1																													
TCGA-06-5858-01	1	1								1																													
TCGA-76-6283-01	1	1								1																													
TCGA-27-2519-01	1	1								1																													
TCGA-28-5219-01	1	1																	1																				
TCGA-02-0055-01	1	1																						1															
TCGA-12-0618-01	1		1		1																																		
TCGA-02-0003-01	1		1			1	1																																
TCGA-02-2485-01	1		1			1		1									1					1																	
TCGA-28-5207-01	1		1			1			1																				1										
TCGA-06-0129-01	1		1				1		1																														
TCGA-15-1444-01	1		1				1				1																		1										
TCGA-06-0128-01	1		1				1																			1													
TCGA-76-6193-01	1		1					1									1																						
TCGA-41-5651-01	1		1					1																								1	1						
TCGA-06-2570-01	1		1					1																															
TCGA-27-1835-01	1		1																																				
TCGA-06-0238-01	1		1																																				
TCGA-06-2563-01	1			1		1																																	
TCGA-76-4929-01	1			1			1																																
TCGA-74-6573-01	1			1			1																																
TCGA-19-2629-01	1			1			1																																
TCGA-06-6701-01	1			1						1			1																										
TCGA-76-6663-01	1			1						1														1											1				
TCGA-06-5408-01	1			1							1						1																						
TCGA-27-2521-01	1			1									1																1										
TCGA-06-0241-01	1			1													1									1													
TCGA-14-0817-01	1			1													1																						
TCGA-27-1830-01	1			1													1																						
TCGA-41-2575-01	1			1													1																						
TCGA-19-1390-01	1			1													1																						
TCGA-02-2483-01	1			1																	1																		
TCGA-14-4157-01	1			1																																			
TCGA-14-1456-01	1					1	1																																
TCGA-32-1970-01	1					1				1																													
TCGA-06-2567-01	1					1				1																													
TCGA-06-0237-01	1					1						1																											
TCGA-12-0619-01	1					1																																	
TCGA-02-0033-01	1							1		1														1															
TCGA-32-2491-01	1							1		1														1															
TCGA-26-5136-01	1							1																															
TCGA-06-5417-01	1							1																															
TCGA-06-6698-01	1									1														1									1	1					
TCGA-14-0740-01	1											1					1																						
TCGA-26-5133-01	1												1											1															
TCGA-14-0871-01	1																				1			1															
TCGA-06-2569-01	1																							1															
TCGA-32-4208-01	1																																						
TCGA-06-0744-01	1																																						
TCGA-26-1442-01	1																																						
TCGA-06-0189-01	1																																						
TCGA-28-2509-01	1																																						
TCGA-06-6389-01	1																																						
TCGA-28-5209-01		1	1	1		1																																	
TCGA-76-4935-01		1	1	1					1								1																						
TCGA-41-4097-01		1	1	1																				1															
TCGA-06-0219-01		1	1	1																																			
TCGA-06-0686-01		1	1		1																														1				
TCGA-14-1450-01		1	1		1																																		
TCGA-02-0006-01		1	1		1																																		
TCGA-27-2526-01		1	1		1																																		
TCGA-41-2571-01		1	1		1																																		
TCGA-06-0157-01		1	1			1			1																														
TCGA-19-1791-01		1	1						1																														
TCGA-12-0820-01		1	1																																				
TCGA-41-2573-01		1	1																																				
TCGA-06-0155-01		1		1	1	1											1																						
TCGA-74-6584-01		1		1	1						1																												
TCGA-06-0214-01		1		1	1												1				1			1															
TCGA-32-1991-01		1		1		1	1		1																														
TCGA-14-0790-01		1		1		1	1																										1	1					
TCGA-06-0649-01		1		1		1											1																						
TCGA-81-5910-01		1		1		1													1							1													
TCGA-32-1982-01		1		1		1															1												1						
TCGA-76-4931-01		1		1		1																																	
TCGA-06-0749-01		1		1		1																																	
TCGA-06-2565-01		1		1		1																																	
TCGA-16-1045-01		1		1		1																																	
TCGA-06-2561-01		1		1		1																																	
TCGA-28-1747-01		1		1		1																																	
TCGA-12-3650-01		1		1		1																																	
TCGA-76-6191-01		1		1		1																																	
TCGA-76-6661-01		1		1		1																																	
TCGA-19-5955-01		1		1			1							1																									
TCGA-76-6657-01		1		1			1																	1				1	1										
TCGA-26-6174-01		1		1			1																																
TCGA-28-2513-01		1		1			1																																
TCGA-06-0166-01		1		1				1									1							1															
TCGA-32-4213-01		1		1					1	1																													
TCGA-12-0692-01		1		1					1								1																						
TCGA-19-0963-01		1		1					1								1																						
TCGA-27-1834-01		1		1					1								1																						
TCGA-02-2470-01		1		1					1																							1							
TCGA-19-1786-01		1		1					1																														
TCGA-14-1459-01		1		1					1																														
TCGA-19-5952-01		1		1					1																														
TCGA-06-5411-01		1		1					1																														
TCGA-12-0775-01		1		1					1																														
TCGA-74-6577-01		1		1					1																														
TCGA-12-0821-01		1		1					1																														
TCGA-06-0148-01		1		1						1		1																											
TCGA-27-2524-01		1		1						1																													
TCGA-06-0216-01		1		1						1																													
TCGA-12-0615-01		1		1							1																												
TCGA-32-1986-01		1		1											1									1															
TCGA-06-0192-01		1		1												1	1							1										1					
TCGA-32-1977-01		1		1													1															1							
TCGA-08-0347-01		1		1													1																						
TCGA-14-0865-01		1		1													1																						
TCGA-27-1837-01		1		1															1																				
TCGA-06-0646-01		1		1															1																				
TCGA-19-5953-01		1		1																	1			1															
TCGA-06-5418-01		1		1																			1																
TCGA-06-0124-01		1		1																				1															
TCGA-28-2502-01		1		1																				1															
TCGA-06-0882-01		1		1																						1													
TCGA-16-0861-01		1		1																												1							
TCGA-32-2495-01		1		1																														1					
TCGA-15-1446-01		1		1																																			
TCGA-76-6192-01		1		1																																			
TCGA-32-5222-01		1		1																																			
TCGA-12-3649-01		1		1																																			
TCGA-12-0822-01		1		1																																			
TCGA-19-1389-01		1		1																																			
TCGA-28-2510-01		1		1																																			
TCGA-06-A5U1-01		1		1																																			
TCGA-02-0034-01		1		1																																			
TCGA-02-0043-01		1		1																																			
TCGA-08-0512-01		1		1																																			
TCGA-26-5132-01		1			1					1							1												1										
TCGA-06-0140-01		1			1					1																													
TCGA-06-0939-01		1			1					1																													
TCGA-02-0039-01		1			1																																		
TCGA-76-4927-01		1				1	1																																1
TCGA-32-2632-01		1				1			1	1																						1		1					
TCGA-81-5911-01		1				1				1																													
TCGA-28-5213-01		1				1																							1					1					
TCGA-06-0881-01		1				1																																	
TCGA-06-1804-01		1				1																																	
TCGA-14-1395-01		1				1																																	
TCGA-41-3915-01		1					1			1				1																									
TCGA-28-1752-01		1							1																														
TCGA-06-0149-01		1							1																														
TCGA-06-0213-01		1								1							1		1																				
TCGA-06-0645-01		1									1																												
TCGA-02-0058-01		1										1																											
TCGA-19-5959-01		1																	1			1										1							
TCGA-14-0781-01		1																			1																		
TCGA-06-5412-01		1																						1	1														
TCGA-12-1597-01		1																														1							
TCGA-02-0338-01		1																																					
TCGA-27-1832-01		1																																					
TCGA-26-6173-01		1																																					
TCGA-06-0168-01		1																																					
TCGA-06-6391-01			1	1	1			1													1																		
TCGA-12-0670-01			1	1	1																																		
TCGA-RR-A6KB-01			1	1					1																														
TCGA-06-5859-01			1	1																					1														
TCGA-27-1833-01			1	1																													1						
TCGA-12-1089-01			1	1																																			
TCGA-RR-A6KA-01			1	1																																			
TCGA-12-0657-01			1	1																																			
TCGA-06-0145-01			1	1																																			
TCGA-16-1056-01			1	1																																			
TCGA-06-6695-01			1		1	1	1										1																						
TCGA-06-0174-01			1		1	1											1			1																			
TCGA-06-5856-01			1		1	1											1																						
TCGA-12-0616-01			1		1	1											1																						
TCGA-19-2624-01			1		1	1																																	
TCGA-27-2518-01			1		1				1																									1					
TCGA-06-0173-01			1		1												1				1											1							
TCGA-32-4211-01			1		1												1				1																		
TCGA-26-5135-01			1		1												1					1																	
TCGA-19-0957-01			1		1												1																						
TCGA-06-0177-01			1		1												1																						
TCGA-26-1438-01			1		1												1																						
TCGA-06-0152-01			1		1														1																				
TCGA-06-0209-01			1		1																1																		
TCGA-28-5214-01			1		1																								1										
TCGA-02-0266-01			1		1																																		
TCGA-06-0182-01			1		1																																		
TCGA-02-0099-01			1		1																																		
TCGA-06-6390-01			1		1																																		
TCGA-12-0826-01			1		1																																		
TCGA-06-0162-01			1		1																																		
TCGA-02-0102-01			1		1																																		
TCGA-12-1602-01			1		1																																		
TCGA-14-1451-01			1		1																																		
TCGA-06-0138-01			1		1																																		
TCGA-06-A7TK-01			1		1																																		
TCGA-06-0221-01			1								1						1																						
TCGA-06-0402-01			1								1						1																						
TCGA-02-0074-01			1														1																						
TCGA-19-0960-01			1														1																						
TCGA-16-0848-01			1														1																						
TCGA-08-0245-01			1														1																						
TCGA-19-5960-01			1																					1															
TCGA-06-0409-01			1																																				
TCGA-08-0380-01			1																																				
TCGA-16-0850-01			1																																				
TCGA-02-0071-01				1	1				1																														
TCGA-76-6660-01				1	1										1				1																				
TCGA-06-0187-01				1	1																																		
TCGA-32-1978-01				1	1																																		
TCGA-06-0750-01				1		1	1		1																														
TCGA-26-5139-01				1		1	1																																
TCGA-76-6656-01				1		1	1																																
TCGA-16-1048-01				1		1		1	1										1																				
TCGA-32-1979-01				1		1		1	1												1																		
TCGA-15-0742-01				1		1		1															1																
TCGA-06-5413-01				1		1		1																															
TCGA-06-0879-01				1		1		1																															
TCGA-06-0154-01				1		1			1																							1							
TCGA-06-0185-01				1		1			1																														
TCGA-06-0158-01				1		1					1												1																
TCGA-06-2557-01				1		1					1																												
TCGA-14-1823-01				1		1					1																												
TCGA-14-0789-01				1		1						1												1															
TCGA-27-2528-01				1		1								1																									
TCGA-06-0142-01				1		1									1											1													
TCGA-76-6282-01				1		1										1										1								1					
TCGA-27-1831-01				1		1											1		1		1																		
TCGA-14-1829-01				1		1											1																						
TCGA-06-0137-01				1		1																1							1										
TCGA-19-2620-01				1		1																		1															
TCGA-06-0878-01				1		1																																	
TCGA-14-0786-01				1		1																																	
TCGA-12-3652-01				1		1																																	
TCGA-26-1439-01				1		1																																	
TCGA-14-2554-01				1		1																																	
TCGA-06-0747-01				1		1																																	
TCGA-06-6700-01				1		1																																	
TCGA-06-0650-01				1		1																								