Gene	TP53	ZHX1	DNMT3A	IDH1	NRAS	PPP1CA	NOM1	PLCE1	PTPN11	KIT	HNRNPK	BCL2L1	EGFR	MAX	U2AF1	TK1	APC	ZCCHC10	HDAC3	MYC	PDIA4	MATR3	MTUS2	FXR2	ZBTB17	RBBP4	WDR60	CEBPA	CDKN1A	PFDN1	RAB4A	SRA1	NFYC	UBE2D2	TCL1A	PPARGC1B	ZNF212	CBL	EZH2	USP7	RAD50	TERF2	GIGYF2	MYB	GOLGA2	CDKL3	UBE2H	YWHAE	GRB2	CNOT4	ZMAT2	AFF4	CNOT8	DKK1	MED12	KCNA4	CRK	DISC1	ASNA1	CHD3	HILPDA	MTA2	DCTN4	CD82	EEF1A1	DST	SMC3	DOCK2	KDR	GADD45G	KIAA0240	DIS3	FAM53C	NUP88	CHD4	GATA2	TNIP1	BCOR	CADPS	CREB3	BTG2	PIK3CA	FAM13B	TERF2IP	HECW1	ATM	ESR2	GABARAPL2	LARP1	WT1	NF1	MRE11A	SMAD4	SLC38A1	CTNNB1	CEP76	INPP5K	HDAC2	SMURF2	PSMB6
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0
GeneName	TP53	ZHX1	DNMT3A	IDH1	NRAS	PPP1CA	NOM1	PLCE1	PTPN11	KIT	HNRNPK	BCL2L1	EGFR	MAX	U2AF1	TK1	APC	ZCCHC10	HDAC3	MYC	PDIA4	MATR3	MTUS2	FXR2	ZBTB17	RBBP4	WDR60	CEBPA	CDKN1A	PFDN1	RAB4A	SRA1	NFYC	UBE2D2	TCL1A	PPARGC1B	ZNF212	CBL	EZH2	USP7	RAD50	TERF2	GIGYF2	MYB	GOLGA2	CDKL3	UBE2H	YWHAE	GRB2	CNOT4	ZMAT2	AFF4	CNOT8	DKK1	MED12	KCNA4	CRK	DISC1	ASNA1	CHD3	HILPDA	MTA2	DCTN4	CD82	EEF1A1	DST	SMC3	DOCK2	KDR	GADD45G	KIAA0240	DIS3	FAM53C	NUP88	CHD4	GATA2	TNIP1	BCOR	CADPS	CREB3	BTG2	PIK3CA	FAM13B	TERF2IP	HECW1	ATM	ESR2	GABARAPL2	LARP1	WT1	NF1	MRE11A	SMAD4	SLC38A1	CTNNB1	CEP76	INPP5K	HDAC2	SMURF2	PSMB6
MutualExclScore	7.216890959282263	0.0	30.242857142857137	9.566666666666666	8.253968253968255	0.0	0.761825396825397	2.333333333333333	4.976190476190476	3.873333333333333	3.0	0.0	0.24347826086956523	1.0	4.2	0.0	0.0	0.2807004830917874	0.7807004830917875	1.0	0.5618253968253968	0.2807004830917874	0.325	0.8095238095238095	0.0	0.75	0.761825396825397	8.726190476190476	0.0	0.2807004830917874	0.0	0.2807004830917874	0.0	0.2807004830917874	0.5	0.2807004830917874	0.5618253968253968	1.0	1.75	0.0	0.2807004830917874	0.4601449275362319	1.0	0.3333333333333333	0.0	0.2807004830917874	0.5618253968253968	1.1845238095238095	0.0	0.5618253968253968	0.2807004830917874	1.2807004830917876	0.2807004830917874	0.0	1.3333333333333333	0.8333333333333333	0.1845238095238095	0.0	0.0	0.0	0.5618253968253968	1.2	0.2807004830917874	0.0	0.0	0.4444444444444444	3.3095238095238098	0.8333333333333333	1.1428571428571428	0.0	0.8333333333333333	2.5	0.2807004830917874	0.1845238095238095	0.24347826086956523	0.6666666666666666	0.2807004830917874	0.7	1.05	0.0	0.0	0.0	0.2807004830917874	0.4601449275362319	1.3333333333333333	0.0	0.0	0.4601449275362319	0.2807004830917874	7.726190476190476	1.6333333333333333	0.3333333333333333	0.0	0.0	0.0	1.0416666666666667	0.1845238095238095	0.3333333333333333	0.5	0.1845238095238095
MutQty	16	0	48	18	15	0	6	4	9	8	5	0	2	1	8	0	0	6	7	1	5	6	2	3	0	2	6	13	0	6	0	6	0	6	1	6	5	2	3	0	6	3	2	1	0	6	5	3	0	5	6	7	6	0	2	2	2	0	0	0	5	2	6	0	0	2	7	2	2	0	2	3	6	2	2	2	6	2	2	0	0	0	6	3	2	0	0	3	6	12	5	1	0	0	0	2	2	1	1	2
TCGA-AB-2938-03	1		1																					1																																																																												
TCGA-AB-2908-03	1		1																																																																1																																	
TCGA-AB-2952-03	1				1													1	1			1						1		1		1		1		1					1					1					1	1	1										1										1				1						1						1											
TCGA-AB-2838-03	1				1																																																																																															
TCGA-AB-2885-03	1								1																																																																																			1								
TCGA-AB-2878-03	1												1					1	1			1								1		1		1		1					1	1				1					1	1	1										1										1		1		1						1	1				1	1											
TCGA-AB-2904-03	1																	1	1			1								1		1		1		1					1					1		1			1	1	1				1						1										1	1			1						1						1							1	1			1
TCGA-AB-2943-03	1																	1	1			1								1		1		1		1					1					1					1	1	1										1										1				1		1				1						1		1									
TCGA-AB-2935-03	1																	1	1			1								1		1		1		1					1					1					1	1	1										1										1				1						1						1											
TCGA-AB-2933-03	1																							1																								1									1																	1																							1			1
TCGA-AB-2820-03	1																							1																																																																			1									
TCGA-AB-2868-03	1																																																																																																			
TCGA-AB-2860-03	1																																																																																																			
TCGA-AB-2941-03	1																																																																																																			
TCGA-AB-2829-03	1																																																																																																			
TCGA-AB-2813-03	1																																																																																																			
TCGA-AB-2887-03			1	1	1																																		1																																																													
TCGA-AB-2949-03			1	1			1																				1																																																1																									
TCGA-AB-2884-03			1	1					1																																																																																											
TCGA-AB-2802-03			1	1					1																																																																																											
TCGA-AB-2945-03			1	1						1																																1																																										1				1												
TCGA-AB-2863-03			1	1									1															1																																		1																																						
TCGA-AB-2919-03			1	1																						1																																																																1										
TCGA-AB-2822-03			1	1																																																			1																																													
TCGA-AB-2928-03			1	1																																																																																																
TCGA-AB-2867-03			1	1																																																																																																
TCGA-AB-2839-03			1		1				1																			1																																							1		1																					1										
TCGA-AB-2968-03			1		1										1								1																																																							1																						
TCGA-AB-2967-03			1		1																																																																																															
TCGA-AB-2816-03			1		1																																																																																															
TCGA-AB-2966-03			1					1																																																																																												
TCGA-AB-2859-03			1								1																																																																																									
TCGA-AB-2912-03			1												1																																																				1																																	
TCGA-AB-2861-03			1												1																																																																																			1		
TCGA-AB-2955-03			1																									1																																																1																								
TCGA-AB-2916-03			1																																									1												1																																												
TCGA-AB-2853-03			1																																																																1																																	
TCGA-AB-2851-03			1																																																																1																																	
TCGA-AB-2993-03			1																																																																1																																	
TCGA-AB-2895-03			1																																																																	1																																
TCGA-AB-2925-03			1																																																																									1									1															
TCGA-AB-2864-03			1																																																																																																1	
TCGA-AB-2869-03			1																																																																																																	
TCGA-AB-2981-03			1																																																																																																	
TCGA-AB-2825-03			1																																																																																																	
TCGA-AB-2898-03			1																																																																																																	
TCGA-AB-2833-03			1																																																																																																	
TCGA-AB-2934-03			1																																																																																																	
TCGA-AB-2896-03			1																																																																																																	
TCGA-AB-2891-03			1																																																																																																	
TCGA-AB-2947-03			1																																																																																																	
TCGA-AB-2824-03			1																																																																																																	
TCGA-AB-2974-03			1																																																																																																	
TCGA-AB-2818-03			1																																																																																																	
TCGA-AB-2873-03			1																																																																																																	
TCGA-AB-2965-03			1																																																																																																	
TCGA-AB-2975-03			1																																																																																																	
TCGA-AB-2931-03			1																																																																																																	
TCGA-AB-2988-03			1																																																																																																	
TCGA-AB-2830-03			1																																																																																																	
TCGA-AB-2809-03			1																																																																																																	
TCGA-AB-2987-03			1																																																																																																	
TCGA-AB-2984-03				1	1																																																																																															
TCGA-AB-2821-03				1											1																																																																																					
TCGA-AB-2926-03				1																						1																																																																										
TCGA-AB-2901-03				1																																																																																																
TCGA-AB-2992-03				1																																																																																																
TCGA-AB-2977-03				1																																																																																																
TCGA-AB-3011-03				1																																																																																																
TCGA-AB-2990-03				1																																																																																																
TCGA-AB-2923-03					1		1														1						1										1										1			1											1					1																																		
TCGA-AB-2808-03					1																							1																																																																								
TCGA-AB-2978-03					1																																																																																															
TCGA-AB-2985-03					1																																																																																															
TCGA-AB-2932-03					1																																																																																															
TCGA-AB-2892-03					1																																																																																															
TCGA-AB-2870-03					1																																																																																															
TCGA-AB-2939-03							1			1								1	1		1	1					1			1		1		1		1	1				1					1	1			1	1	1	1								1		1										1				1						1						1											
TCGA-AB-2805-03							1														1		1				1										1										1			1											1																																							
TCGA-AB-3007-03							1														1						1										1										1			1											1																																							
TCGA-AB-2915-03							1														1						1										1										1			1											1																																							
TCGA-AB-2843-03								1		1					1																																																																																					
TCGA-AB-2806-03								1																																			1																																																									
TCGA-AB-2959-03								1																																																																																												
TCGA-AB-2914-03									1																													1																																																														
TCGA-AB-2972-03									1																																																											1			1																													
TCGA-AB-2963-03									1																																																																																											
TCGA-AB-2855-03									1																																																																																											
TCGA-AB-2871-03									1																																																																																											
TCGA-AB-2937-03										1	1																																																																																									
TCGA-AB-2819-03										1									1																																																																																	
TCGA-AB-2846-03										1																																																								1																								1										
TCGA-AB-2881-03										1																																																																																										
TCGA-AB-2888-03										1																																																																																										
TCGA-AB-2872-03											1																								1																																																																	
TCGA-AB-2886-03											1																																1																																																									
TCGA-AB-2971-03											1																																																																																									
TCGA-AB-2991-03														1																																																																																						
TCGA-AB-2996-03															1																																																								1																													
TCGA-AB-2847-03															1																																																																																					
TCGA-AB-2882-03															1																																																																																					
TCGA-AB-2827-03																				1																																																																																
TCGA-AB-2874-03																												1																																																														1										
TCGA-AB-2979-03																												1																																																																								
TCGA-AB-3000-03																												1																																																																								
TCGA-AB-3008-03																												1																																																																								
TCGA-AB-2940-03																												1																																																																								
TCGA-AB-2900-03																												1																																																																								
TCGA-AB-2880-03																												1																																																																								
TCGA-AB-2845-03																												1																																																																								
TCGA-AB-2989-03																																						1																																					