Gene	TP53	EGFR	ERBB2	NRXN1	MACF1	APC	CTNNB1	MYO16	SIPA1L1	VCAN	STK11
Rank	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0
GeneName	TP53	EGFR	ERBB2	NRXN1	MACF1	APC	CTNNB1	MYO16	SIPA1L1	VCAN	STK11
MutualExclScore	146.66666666666663	48.41666666666667	13.083333333333336	24.5	17.333333333333336	16.166666666666668	8.666666666666668	12.25	3.8333333333333335	24.749999999999996	48.333333333333336
MutQty	223	77	20	47	31	28	16	25	11	46	70
TCGA-95-7947-01	1	1	1		1						
TCGA-38-4629-01	1	1	1						1		
TCGA-86-A4P7-01	1	1		1						1	
TCGA-MP-A4TF-01	1	1		1							1
TCGA-L9-A444-01	1	1		1							
TCGA-55-8620-01	1	1		1							
TCGA-05-4402-01	1	1				1					
TCGA-86-8280-01	1	1					1				1
TCGA-50-5939-01	1	1						1			1
TCGA-50-6595-01	1	1						1			
TCGA-50-5066-01	1	1							1		
TCGA-55-7570-01	1	1							1		
TCGA-97-8172-01	1	1								1	
TCGA-05-4415-01	1	1									1
TCGA-55-A48Z-01	1	1									
TCGA-55-8096-01	1	1									
TCGA-55-6968-01	1	1									
TCGA-86-8074-01	1	1									
TCGA-50-5944-01	1	1									
TCGA-86-8075-01	1	1									
TCGA-17-Z047-01	1	1									
TCGA-MP-A4T9-01	1	1									
TCGA-71-8520-01	1	1									
TCGA-69-7760-01	1	1									
TCGA-38-6178-01	1	1									
TCGA-93-A4JP-01	1	1									
TCGA-75-6207-01	1	1									
TCGA-62-8402-01	1	1									
TCGA-44-A4SU-01	1	1									
TCGA-50-6591-01	1	1									
TCGA-78-7147-01	1	1									
TCGA-75-6211-01	1	1									
TCGA-50-6673-01	1	1									
TCGA-91-6847-01	1	1									
TCGA-55-7573-01	1	1									
TCGA-05-5423-01	1	1									
TCGA-86-8055-01	1	1									
TCGA-49-4490-01	1	1									
TCGA-62-A46U-01	1	1									
TCGA-55-8514-01	1	1									
TCGA-44-6147-01	1	1									
TCGA-64-1681-01	1	1									
TCGA-97-8547-01	1	1									
TCGA-97-A4M1-01	1	1									
TCGA-50-5933-01	1	1									
TCGA-62-8394-01	1	1									
TCGA-44-A4SS-01	1		1	1		1					
TCGA-05-4384-01	1		1				1				
TCGA-78-7154-01	1		1						1		
TCGA-17-Z049-01	1		1							1	
TCGA-97-8175-01	1		1								
TCGA-44-3396-01	1		1								
TCGA-69-A59K-01	1		1								
TCGA-38-4630-01	1		1								
TCGA-MP-A4TI-01	1			1	1						
TCGA-MP-A4T4-01	1			1	1						
TCGA-55-5899-01	1			1		1				1	
TCGA-17-Z003-01	1			1		1					
TCGA-17-Z001-01	1			1		1					
TCGA-44-7669-01	1			1				1		1	
TCGA-99-7458-01	1			1				1			
TCGA-49-4488-01	1			1				1			
TCGA-55-7910-01	1			1						1	
TCGA-55-7576-01	1			1						1	
TCGA-44-A479-01	1			1							1
TCGA-97-8179-01	1			1							1
TCGA-17-Z042-01	1			1							
TCGA-05-4420-01	1			1							
TCGA-17-Z028-01	1			1							
TCGA-MP-A4TA-01	1			1							
TCGA-38-4632-01	1			1							
TCGA-69-8255-01	1			1							
TCGA-49-4514-01	1			1							
TCGA-86-8056-01	1			1							
TCGA-55-8094-01	1			1							
TCGA-05-5428-01	1				1			1			
TCGA-17-Z023-01	1				1					1	
TCGA-53-A4EZ-01	1				1					1	
TCGA-78-7143-01	1				1					1	
TCGA-35-5375-01	1				1						
TCGA-MN-A4N5-01	1				1						
TCGA-95-7562-01	1				1						
TCGA-86-8279-01	1				1						
TCGA-35-4122-01	1				1						
TCGA-55-8301-01	1				1						
TCGA-44-7660-01	1				1						
TCGA-62-8399-01	1				1						
TCGA-55-A48X-01	1				1						
TCGA-69-7974-01	1				1						
TCGA-55-8510-01	1					1		1	1		
TCGA-55-7913-01	1					1					1
TCGA-17-Z037-01	1					1					
TCGA-91-6840-01	1					1					
TCGA-44-7661-01	1					1					
TCGA-17-Z007-01	1					1					
TCGA-44-5645-01	1					1					
TCGA-MP-A4SV-01	1						1	1			
TCGA-55-8085-01	1						1				
TCGA-73-4670-01	1							1			1
TCGA-17-Z027-01	1							1			
TCGA-MP-A4TC-01	1							1			
TCGA-86-7954-01	1							1			
TCGA-91-6836-01	1							1			
TCGA-49-6767-01	1							1			
TCGA-64-5778-01	1							1			
TCGA-55-8205-01	1							1			
TCGA-44-7667-01	1							1			
TCGA-17-Z043-01	1								1		
TCGA-05-4395-01	1									1	1
TCGA-55-6969-01	1									1	
TCGA-95-7944-01	1									1	
TCGA-73-4666-01	1									1	
TCGA-MP-A4TK-01	1									1	
TCGA-53-7626-01	1									1	
TCGA-99-8028-01	1									1	
TCGA-50-5068-01	1									1	
TCGA-55-6985-01	1									1	
TCGA-78-7542-01	1									1	
TCGA-O1-A52J-01	1									1	
TCGA-64-1679-01	1									1	
TCGA-17-Z015-01	1									1	
TCGA-55-6975-01	1									1	
TCGA-86-8672-01	1									1	
TCGA-17-Z017-01	1									1	
TCGA-83-5908-01	1									1	
TCGA-78-7146-01	1									1	
TCGA-99-8025-01	1										1
TCGA-55-8092-01	1										1
TCGA-55-7574-01	1										1
TCGA-55-8299-01	1										1
TCGA-78-7535-01	1										1
TCGA-44-6779-01	1										1
TCGA-86-7701-01	1										1
TCGA-62-A471-01	1										1
TCGA-49-4487-01	1										1
TCGA-75-7031-01	1										1
TCGA-44-6144-01	1										1
TCGA-75-5146-01	1										1
TCGA-62-A46Y-01	1										
TCGA-95-8039-01	1										
TCGA-L4-A4E5-01	1										
TCGA-17-Z009-01	1										
TCGA-93-8067-01	1										
TCGA-55-8614-01	1										
TCGA-64-5775-01	1										
TCGA-17-Z053-01	1										
TCGA-97-7938-01	1										
TCGA-17-Z021-01	1										
TCGA-50-5045-01	1										
TCGA-05-4430-01	1										
TCGA-55-7911-01	1										
TCGA-97-7554-01	1										
TCGA-62-A472-01	1										
TCGA-05-4433-01	1										
TCGA-44-6145-01	1										
TCGA-55-8208-01	1										
TCGA-J2-A4AD-01	1										
TCGA-17-Z061-01	1										
TCGA-44-A47G-01	1										
TCGA-73-7499-01	1										
TCGA-50-5941-01	1										
TCGA-78-8660-01	1										
TCGA-05-4426-01	1										
TCGA-55-7727-01	1										
TCGA-17-Z033-01	1										
TCGA-93-A4JN-01	1										
TCGA-17-Z052-01	1										
TCGA-97-7553-01	1										
TCGA-86-8673-01	1										
TCGA-55-6712-01	1										
TCGA-55-8619-01	1										
TCGA-55-7914-01	1										
TCGA-97-7937-01	1										
TCGA-91-6831-01	1										
TCGA-17-Z044-01	1										
TCGA-95-8494-01	1										
TCGA-55-7726-01	1										
TCGA-17-Z057-01	1										
TCGA-44-6777-01	1										
TCGA-44-5643-01	1										
TCGA-55-8204-01	1										
TCGA-64-1677-01	1										
TCGA-44-6778-01	1										
TCGA-50-6592-01	1										
TCGA-78-7150-01	1										
TCGA-44-6775-01	1										
TCGA-91-8499-01	1										
TCGA-55-7724-01	1										
TCGA-62-A46R-01	1										
TCGA-44-6774-01	1										
TCGA-50-5931-01	1										
TCGA-55-8621-01	1										
TCGA-17-Z005-01	1										
TCGA-91-A4BC-01	1										
TCGA-73-4676-01	1										
TCGA-55-7903-01	1										
TCGA-93-A4JO-01	1										
TCGA-50-6594-01	1										
TCGA-55-7283-01	1										
TCGA-17-Z062-01	1										
TCGA-78-7540-01	1										
TCGA-49-4505-01	1										
TCGA-05-4396-01	1										
TCGA-50-6593-01	1										
TCGA-97-A4LX-01	1										
TCGA-55-8616-01	1										
TCGA-86-7953-01	1										
TCGA-97-A4M0-01	1										
TCGA-86-7711-01	1										
TCGA-55-7227-01	1										
TCGA-55-A491-01	1										
TCGA-MN-A4N1-01	1										
TCGA-55-A493-01	1										
TCGA-99-8033-01	1										
TCGA-55-6979-01	1										
TCGA-05-4405-01	1										
TCGA-78-7145-01	1										
TCGA-17-Z020-01	1										
TCGA-75-5147-01	1										
TCGA-35-4123-01	1										
TCGA-50-8460-01	1										
TCGA-78-7149-01	1										
TCGA-75-5125-01	1										
TCGA-97-A4M7-01		1		1							
TCGA-44-4112-01		1				1	1		1		
TCGA-78-7158-01		1					1				
TCGA-97-8171-01		1					1				
TCGA-69-7763-01		1									1
TCGA-44-3917-01		1									
TCGA-38-4627-01		1									
TCGA-17-Z002-01		1									
TCGA-78-7220-01		1									
TCGA-MP-A4SW-01		1									
TCGA-97-A4M6-01		1									
TCGA-75-7025-01		1									
TCGA-49-4494-01		1									
TCGA-97-8177-01		1									
TCGA-67-6217-01		1									
TCGA-MP-A4T6-01		1									
TCGA-38-4628-01		1									
TCGA-17-Z032-01		1									
TCGA-75-6212-01		1									
TCGA-55-8206-01		1									
TCGA-J2-8192-01		1									
TCGA-49-4501-01		1									
TCGA-86-8668-01		1									
TCGA-67-3772-01		1									
TCGA-17-Z048-01		1									
TCGA-55-6980-01		1									
TCGA-91-6835-01		1									
TCGA-55-6981-01		1									
TCGA-49-AARO-01		1									
TCGA-97-8552-01		1									
TCGA-44-2661-01		1									
TCGA-86-A456-01			1		1					1	
TCGA-69-7761-01			1								
TCGA-44-3919-01			1								
TCGA-86-6562-01			1								
TCGA-55-1596-01			1								
TCGA-55-1592-01			1								
TCGA-05-4434-01			1								
TCGA-55-8511-01			1								
TCGA-44-A47B-01			1								
TCGA-05-5715-01			1								
TCGA-78-7156-01				1	1				1		1
TCGA-75-5122-01				1	1						
TCGA-73-4659-01				1		1					
TCGA-17-Z011-01				1		1					
TCGA-50-8459-01				1				1			
TCGA-44-7672-01				1				1			