SubnetworkSize	TruePositives	FalsePositives	PPV(%)	genes
0	0	0	0	
1	1	0	100	TP53
2	2	0	100	TP53,MYC
3	3	0	100	TP53,MYC,RB1
4	4	0	100	TP53,MYC,RB1,MAX
5	5	0	100	TP53,MYC,RB1,MAX,AKT1
6	6	0	100	TP53,MYC,RB1,MAX,CCNE1,AKT1
9	6	3	66	TP53,MYC,RB1,MAX,CCNE1,AKT1,BCL2L1,MCL1,RNF144B
10	7	3	70	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B
11	7	4	63	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1
12	7	5	58	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1,UBE2I
13	7	6	53	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1,CTBP1,UBE2I
14	7	7	50	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,UBE2I
15	7	8	46	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,TK1,UBE2I
16	7	9	43	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,SMARCA2,TK1,UBE2I
17	8	9	47	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,TFDP1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,SMARCA2,TK1,UBE2I
18	9	9	50	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,TFDP1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,SMARCA2,TK1,UBE2I
22	11	11	50	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,HIF1A,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,TK1,UBE2I,TRIP13
23	11	12	47	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,HIF1A,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,TK1,UBE2I,PPP1CA,TRIP13
24	11	13	45	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,HIF1A,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,TK1,SFN,UBE2I,PPP1CA,TRIP13
26	12	14	46	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,SFN,UBE2I,PPP1CA,TRIP13
27	13	14	48	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,APC,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,SFN,UBE2I,PPP1CA,TRIP13
29	13	16	44	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,APC,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,SFN,SCAMP1,UBE2I,XRCC6,PPP1CA,TRIP13
30	14	16	46	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,SFN,SCAMP1,UBE2I,XRCC6,PPP1CA,TRIP13
32	15	17	46	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,SFN,SCAMP1,UBE2I,XRCC6,PPP1CA,GSK3B,TRIP13
35	17	18	48	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,PPP1CA,GSK3B,TRIP13
36	17	19	47	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,PPP1CA,GSK3B,TRIP13,ZNF512B
37	17	20	45	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,LIF,PPP1CA,GSK3B,TRIP13,ZNF512B
38	17	21	44	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,LIF,PPP1CA,GSK3B,PLK3,TRIP13,ZNF512B
39	17	22	43	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,LIF,PPP1CA,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B
40	17	23	42	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,LIF,PPP1CA,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B
41	17	24	41	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,SCAMP1,UBE2I,XRCC6,LIF,SCN3B,PPP1CA,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B
44	18	26	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,MLH1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,XRCC6,LIF,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B
45	18	27	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,JUN,APC,PIK3R1,MLH1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B
48	20	28	41	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B,CREB3
49	20	29	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,ZNF512B,CREB3
50	20	30	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,CREB3
51	21	30	41	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CDC42,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,CREB3
52	21	31	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CDC42,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,CREB3
53	21	32	39	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CDC42,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3
55	22	33	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A
57	24	33	42	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A
58	24	34	41	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A
59	24	35	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14
60	24	36	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14,FOXM1
61	24	37	39	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14,TRAF6,FOXM1
63	24	39	38	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14,PIN1,ZHX1,TRAF6,FOXM1
65	25	40	38	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,SMAD4,CHD3,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14,PIN1,ZHX1,TRAF6,FOXM1,RCHY1
67	27	40	40	TP53,MYC,RB1,MAX,CCNE1,AKT1,TERT,BRCA1,STK11,TFDP1,BAX,PTEN,HIF1A,SKP2,PMS2,EGFR,JUN,APC,CDKN1A,PIK3R1,MLH1,CTNNB1,CDC42,SMAD4,CHD3,MET,UBE2D1,BCL2L1,MCL1,RNF144B,CCNB1,TAF9,CTBP1,NFYC,SMARCA2,BCAT1,TK1,TRIM28,SFN,TBP,SCAMP1,UBE2I,ATF2,XRCC6,LIF,COL18A1,SCN3B,PPP1CA,ATF3,SMYD2,GSK3B,TP53I3,PLK3,TRIP13,TAF4B,CSE1L,TRAF2,ZNF512B,PRMT1,CREB3,UBE3A,MAPK14,PIN1,ZHX1,TRAF6,FOXM1,RCHY1
